alpha,cache_size,std,strategy,topology,weight
0.6,0.002,50,WLFU,GEANT,1689.3225533333334
0.8,0.002,50,WLFU,GEANT,1549.398875
1.0,0.002,50,WLFU,GEANT,1206.7215333333334
1.2,0.002,50,WLFU,GEANT,784.9962516666667
0.6,0.002,50,WLFU,TISCALI,2000.760195
0.8,0.002,50,WLFU,TISCALI,1899.2261683333334
1.0,0.002,50,WLFU,TISCALI,1637.783245
1.2,0.002,50,WLFU,TISCALI,1296.4392383333334
0.6,0.002,50,PROB_CACHE,GEANT,1725.7603416666666
0.8,0.002,50,PROB_CACHE,GEANT,1648.1005699999998
1.0,0.002,50,PROB_CACHE,GEANT,1340.4422566666667
1.2,0.002,50,PROB_CACHE,GEANT,883.833015
0.6,0.002,50,PROB_CACHE,TISCALI,2028.0374533333334
0.8,0.002,50,PROB_CACHE,TISCALI,1980.8972616666667
1.0,0.002,50,PROB_CACHE,TISCALI,1760.1447133333334
1.2,0.002,50,PROB_CACHE,TISCALI,1396.6484333333333
0.6,0.002,50,WLRU,GEANT,1728.41272
0.8,0.002,50,WLRU,GEANT,1668.2191233333333
1.0,0.002,50,WLRU,GEANT,1408.4720983333334
1.2,0.002,50,WLRU,GEANT,966.0172583333333
0.6,0.002,50,WLRU,TISCALI,2028.9772966666667
0.8,0.002,50,WLRU,TISCALI,1993.12659
1.0,0.002,50,WLRU,TISCALI,1810.2075916666668
1.2,0.002,50,WLRU,TISCALI,1471.224425
0.6,0.002,50,GRD,GEANT,1697.1530633333334
0.8,0.002,50,GRD,GEANT,1572.355095
1.0,0.002,50,GRD,GEANT,1250.6560283333333
1.2,0.002,50,GRD,GEANT,846.2892633333333
0.6,0.002,50,GRD,TISCALI,2008.7825366666666
0.8,0.002,50,GRD,TISCALI,1922.7067049999998
1.0,0.002,50,GRD,TISCALI,1684.806225
1.2,0.002,50,GRD,TISCALI,1360.5446133333332
0.6,0.002,50,LCE,GEANT,1730.900375
0.8,0.002,50,LCE,GEANT,1682.805258333333
1.0,0.002,50,LCE,GEANT,1433.5193666666667
1.2,0.002,50,LCE,GEANT,992.489715
0.6,0.002,50,LCE,TISCALI,2030.5952033333333
0.8,0.002,50,LCE,TISCALI,2001.81257
1.0,0.002,50,LCE,TISCALI,1832.4258316666667
1.2,0.002,50,LCE,TISCALI,1492.2614916666666
