alpha,cache_size,std,strategy,topology,weight
0.8,0.004,50,WLFU,GEANT,1509.09833
0.8,0.002,50,WLFU,GEANT,1549.398875
0.8,0.01,50,WLFU,GEANT,1444.2528666666667
0.8,0.05,50,WLFU,GEANT,1303.7979716666666
0.8,0.004,50,WLFU,TISCALI,1869.2211516666666
0.8,0.002,50,WLFU,TISCALI,1899.2261683333334
0.8,0.01,50,WLFU,TISCALI,1820.898285
0.8,0.05,50,WLFU,TISCALI,1710.41252
0.8,0.004,50,PROB_CACHE,GEANT,1615.976125
0.8,0.002,50,PROB_CACHE,GEANT,1648.1005699999998
0.8,0.01,50,PROB_CACHE,GEANT,1559.0907066666666
0.8,0.05,50,PROB_CACHE,GEANT,1432.0001833333333
0.8,0.004,50,PROB_CACHE,TISCALI,1956.292555
0.8,0.002,50,PROB_CACHE,TISCALI,1980.8972616666667
0.8,0.01,50,PROB_CACHE,TISCALI,1913.332625
0.8,0.05,50,PROB_CACHE,TISCALI,1812.6203766666667
0.8,0.004,50,WLRU,GEANT,1639.9083083333333
0.8,0.002,50,WLRU,GEANT,1668.2191233333333
0.8,0.01,50,WLRU,GEANT,1588.8393766666666
0.8,0.05,50,WLRU,GEANT,1450.4369566666667
0.8,0.004,50,WLRU,TISCALI,1971.741225
0.8,0.002,50,WLRU,TISCALI,1993.12659
0.8,0.01,50,WLRU,TISCALI,1932.009175
0.8,0.05,50,WLRU,TISCALI,1829.8213783333333
0.8,0.004,50,GRD,GEANT,1534.87501
0.8,0.002,50,GRD,GEANT,1572.355095
0.8,0.01,50,GRD,GEANT,1475.5415116666666
0.8,0.05,50,GRD,GEANT,1349.3396166666666
0.8,0.004,50,GRD,TISCALI,1895.1728066666667
0.8,0.002,50,GRD,TISCALI,1922.7067049999998
0.8,0.01,50,GRD,TISCALI,1849.32366
0.8,0.05,50,GRD,TISCALI,1747.6892366666666
0.8,0.004,50,LCE,GEANT,1658.4986533333333
0.8,0.002,50,LCE,GEANT,1682.805258333333
0.8,0.01,50,LCE,GEANT,1613.5138833333333
0.8,0.05,50,LCE,GEANT,1494.8566183333332
0.8,0.004,50,LCE,TISCALI,1983.7447033333333
0.8,0.002,50,LCE,TISCALI,2001.81257
0.8,0.01,50,LCE,TISCALI,1949.3172416666666
0.8,0.05,50,LCE,TISCALI,1858.1393283333334
