alpha,cache_size,std,strategy,topology,weight
0.8,0.002,0,WLFU,GEANT,1554.87269
0.8,0.002,5,WLFU,GEANT,1554.8994683333333
0.8,0.002,50,WLFU,GEANT,1549.398875
0.8,0.002,100,WLFU,GEANT,1543.84495
0.8,0.002,0,WLFU,TISCALI,1961.9972633333334
0.8,0.002,5,WLFU,TISCALI,1955.702405
0.8,0.002,50,WLFU,TISCALI,1899.2261683333334
0.8,0.002,100,WLFU,TISCALI,1837.3821866666667
0.8,0.002,0,PROB_CACHE,GEANT,1657.114865
0.8,0.002,5,PROB_CACHE,GEANT,1656.1553633333333
0.8,0.002,50,PROB_CACHE,GEANT,1648.1005699999998
0.8,0.002,100,PROB_CACHE,GEANT,1638.72621
0.8,0.002,0,PROB_CACHE,TISCALI,2046.7754183333334
0.8,0.002,5,PROB_CACHE,TISCALI,2040.178255
0.8,0.002,50,PROB_CACHE,TISCALI,1980.8972616666667
0.8,0.002,100,PROB_CACHE,TISCALI,1916.000085
0.8,0.002,0,WLRU,GEANT,1676.3883966666667
0.8,0.002,5,WLRU,GEANT,1675.5732316666667
0.8,0.002,50,WLRU,GEANT,1668.2191233333333
0.8,0.002,100,WLRU,GEANT,1659.9989433333333
0.8,0.002,0,WLRU,TISCALI,2058.9598983333335
0.8,0.002,5,WLRU,TISCALI,2052.4922466666667
0.8,0.002,50,WLRU,TISCALI,1993.12659
0.8,0.002,100,WLRU,TISCALI,1927.565105
0.8,0.002,0,GRD,GEANT,1578.88948
0.8,0.002,5,GRD,GEANT,1578.2165316666667
0.8,0.002,50,GRD,GEANT,1572.355095
0.8,0.002,100,GRD,GEANT,1564.50679
0.8,0.002,0,GRD,TISCALI,1985.0207533333332
0.8,0.002,5,GRD,TISCALI,1979.07358
0.8,0.002,50,GRD,TISCALI,1922.7067049999998
0.8,0.002,100,GRD,TISCALI,1859.8339033333334
0.8,0.002,0,LCE,GEANT,1691.7664866666667
0.8,0.002,5,LCE,GEANT,1690.8225033333333
0.8,0.002,50,LCE,GEANT,1682.805258333333
0.8,0.002,100,LCE,GEANT,1673.507335
0.8,0.002,0,LCE,TISCALI,2068.12284
0.8,0.002,5,LCE,TISCALI,2061.4817566666666
0.8,0.002,50,LCE,TISCALI,2001.81257
0.8,0.002,100,LCE,TISCALI,1936.48176
