alpha,cache_ratio,round,strategy,topology,weight
0.9,0.01,7,WLFU,GEANT,927.9617866666666
0.9,0.01,6,WLFU,GEANT,1775.4303516666666
0.9,0.01,7,WLRU,GEANT,1117.645895
0.9,0.01,7,NOCACHE,GEANT,1325.7193666666667
0.9,0.01,7,GRD,GEANT,974.2728166666667
0.9,0.01,7,LCE-LFU,GEANT,975.4956166666667
0.9,0.01,6,WLRU,GEANT,2141.5711833333335
0.9,0.01,7,LCE-LRU,GEANT,1141.6537166666667
0.9,0.01,5,WLFU,GEANT,1487.661075
0.9,0.01,6,NOCACHE,GEANT,2592.794316666667
0.9,0.01,6,GRD,GEANT,1864.3196666666668
0.9,0.01,6,LCE-LFU,GEANT,1830.9520333333332
0.6,0.05,7,WLFU,GEANT,1179.2826733333334
0.9,0.01,6,LCE-LRU,GEANT,2168.77995
0.9,0.01,4,WLFU,GEANT,1461.4458066666666
0.9,0.01,5,NOCACHE,GEANT,2075.5403
0.9,0.01,5,GRD,GEANT,1554.4186166666666
0.9,0.01,5,WLRU,GEANT,1751.643745
0.9,0.01,5,LCE-LFU,GEANT,1549.3577
0.9,0.01,5,LCE-LRU,GEANT,1786.3332833333334
0.6,0.05,6,WLFU,GEANT,2278.4982283333334
0.9,0.01,4,NOCACHE,GEANT,2134.3076333333333
0.9,0.01,4,GRD,GEANT,1530.4844
0.9,0.01,4,WLRU,GEANT,1754.9217883333333
0.9,0.01,3,WLFU,GEANT,1393.731865
0.9,0.01,4,LCE-LRU,GEANT,1795.8071833333333
0.9,0.01,4,LCE-LFU,GEANT,1523.7968666666666
0.9,0.01,3,NOCACHE,GEANT,2139.7095
0.9,0.01,3,GRD,GEANT,1459.54455
0.9,0.01,2,WLFU,GEANT,2098.1554466666666
0.9,0.01,3,WLRU,GEANT,1662.2628766666667
0.9,0.01,3,LCE-LRU,GEANT,1694.7005833333333
0.9,0.01,3,LCE-LFU,GEANT,1454.8985833333334
0.9,0.01,2,NOCACHE,GEANT,2813.2321666666667
0.9,0.01,2,GRD,GEANT,2168.151516666667
0.9,0.01,2,WLRU,GEANT,2404.698875
0.9,0.01,1,WLFU,GEANT,1283.6002016666666
0.9,0.01,2,LCE-LRU,GEANT,2422.8853166666668
0.9,0.01,2,LCE-LFU,GEANT,2142.166366666667
0.9,0.01,1,NOCACHE,GEANT,1902.31485
0.9,0.01,1,GRD,GEANT,1356.6265833333334
0.9,0.01,0,WLFU,GEANT,1546.6807966666668
0.9,0.01,1,WLRU,GEANT,1559.3185966666667
0.9,0.01,1,LCE-LRU,GEANT,1593.1735
0.9,0.01,1,LCE-LFU,GEANT,1347.025
0.9,0.01,0,NOCACHE,GEANT,2279.5118333333335
0.9,0.01,0,GRD,GEANT,1618.6423166666666
0.9,0.01,0,WLRU,GEANT,1851.4822616666668
0.6,0.05,7,GRD,GEANT,1233.0191666666667
0.9,0.01,0,LCE-LRU,GEANT,1883.7526833333334
0.9,0.01,0,LCE-LFU,GEANT,1603.5547666666666
0.6,0.05,7,NOCACHE,GEANT,1381.9358166666666
0.6,0.05,5,WLFU,GEANT,1844.3378616666666
0.6,0.05,7,WLRU,GEANT,1318.7641066666667
0.6,0.05,7,LCE-LFU,GEANT,1238.1550833333333
0.6,0.05,7,LCE-LRU,GEANT,1331.9553333333333
0.6,0.05,4,WLFU,GEANT,1867.194885
0.6,0.05,6,NOCACHE,GEANT,2606.264416666667
0.6,0.05,6,GRD,GEANT,2365.847
0.6,0.05,6,WLRU,GEANT,2511.3435383333335
0.6,0.05,6,LCE-LFU,GEANT,2334.231
0.6,0.05,6,LCE-LRU,GEANT,2520.7773
0.6,0.05,5,GRD,GEANT,1920.3468666666668
0.6,0.05,5,NOCACHE,GEANT,2112.66275
0.6,0.05,3,WLFU,GEANT,1753.2051416666666
0.6,0.05,5,LCE-LFU,GEANT,1913.3601
0.6,0.05,5,WLRU,GEANT,2027.50395
0.6,0.05,5,LCE-LRU,GEANT,2046.7849833333332
0.6,0.05,4,GRD,GEANT,1940.4396666666667
0.6,0.05,4,NOCACHE,GEANT,2140.828483333333
0.6,0.05,2,WLFU,GEANT,2515.1468033333335
0.6,0.05,4,LCE-LFU,GEANT,1932.4420166666666
0.6,0.05,4,WLRU,GEANT,2061.4433483333332
0.6,0.05,4,LCE-LRU,GEANT,2077.9299666666666
0.6,0.05,3,GRD,GEANT,1829.0350166666667
0.6,0.05,3,NOCACHE,GEANT,2058.07565
